year,ticker,canonical_stock_id,valid_from,valid_to,source_name,source_url
2020,AAPL,NASDAQ100:AAPL,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ADBE,NASDAQ100:ADBE,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ADI,NASDAQ100:ADI,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ADP,NASDAQ100:ADP,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ADSK,NASDAQ100:ADSK,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AEP,NASDAQ100:AEP,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ALGN,NASDAQ100:ALGN,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AMAT,NASDAQ100:AMAT,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AMD,NASDAQ100:AMD,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AMGN,NASDAQ100:AMGN,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AMZN,NASDAQ100:AMZN,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ANSS,NASDAQ100:ANSS,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,ASML,NASDAQ100:ASML,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AVGO,NASDAQ100:AVGO,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,AZN,NASDAQ100:AZN,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,BIDU,NASDAQ100:BIDU,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,BIIB,NASDAQ100:BIIB,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,BKNG,NASDAQ100:BKNG,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
2020,CDNS,NASDAQ100:CDNS,2020-01-01,2020-12-31,annual Nasdaq-100 constituent files supplied in exports,
